Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist / Biostatistician,-1,Biostatistician,"About us
BlinkTBI’s FDA-cleared technology, EyeStatTM, delivers objective data about the blink reflex in just minutes by stimulating and measuring the blink using light puffs of air and high-speed videography. Our foundational research and proof of concept data supports EyeStat's initial application intended to test for and identify abnormal blink patterns associated with traumatic brain injury (TBI). In addition to TBI, BlinkTBI is now exploring applications in the diagnosis, differentiation and management of neurological diseases and conditions such as Parkinson's, Alzheimer's, and Migraine.
Position Summary:
Core Responsibilities:","Blinktbi, Inc",-1,"Columbia, SC",-1,-1,-1,-1,-1,-1
Machine Learning Engineer,Employer Provided Salary:$120K - $220K,Machine Learning Engineer,"Senior Machine Learning Engineer - ML Ops
We have two openings:
Engineer level – $120 – 150k Needs at least at B.S. Degree, prefer a Masters Degree
Scientist Level – $180 – 220k Needs at least a Masters Degree, Prefer a PhD
Are you interested in using Machine Learning to generate Insights from trillions of Data points, proactively resolve customer and consumer pain points, and elevate customer experience? The Engineering team in Plume Design Inc. is building a cloud-based, data-driven, intelligent Software-as-a service (SaaS) and Customer Experience Platform. The ideal candidate will bring proven experience in Machine Learning areas of expertise to revolutionize data management, collect and clean huge volumes of data, assure data quality, propose new hypotheses, construct and refine ML algorithms to optimize customer experience platform, and bring these ML models to production. This is a unique time to leverage your expertise to make a significant impact and help take a private company to a successful IPO.","Latitude, Inc.",4.4,Remote,1 to 50 Employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD)
Machine Learning Data Engineer,Employer Provided Salary:$87 - $106 Per Hour,Data Engineer,"Location: Portland, OR
Expected Pay Rate: $90.00 - $110.00 per hour
Schedule: Monday - Friday, 40 hours per week, PST business hours
Assignment Length: Contract
Job Description
HireArt is helping Toyota Research Institute (TRI) find a Machine Learning Data Engineer to contribute to state-of-the-art machine learning data infrastructure and relevant software specific to data management, data analysis, and data mining at unparalleled scale. In this role, you'll implement robust software and data pipelines for a tremendous amount of data, and analyze large scale data for the practical scenarios of autonomous driving. Last but not least, you will deploy your algorithms and systems to explore the meaningful scenarios in TRI's data sea and beyond.",Toyota Research Institute,3.9,"East Portland, OR",201 to 500 Employees,2016,Subsidiary or Business Segment,Research & Development,Business Services,Unknown / Non-Applicable
Sr. Data Analyst (JO-2108-130237),Employer Provided Salary:$74 Per Hour,Data Analyst,"Our American residential mortgage company client located in Plano, TX and Cary, NC is currently seeking a Sr. Data Analyst, but you may sit remotely.

We are looking to hire a Data Analyst to join our data team. You will take responsibility for managing our master data set, developing reports, and troubleshooting data issues. To do well in this role you need a very fine eye for detail, experience as a data analyst and deep understanding of the popular data analysis tools and databases. We are looking for staff for Tier 1 and 2 support, with good SQL skills, great communication skills, great IT problem researching skills, and problem solving skills in a business environment (shared network drives, servers, job schedulers, etc). A likely candidate might have worked on a help desk.

Responsibilities:·
Develop ETL (Extract, transform, load) frame works to support analytic models.
·


We are an equal opportunity employer and make hiring decisions based on merit. Recruitment, hiring, training, and job assignments are made without regard to race, color, national origin, age, ancestry, religion, sex, sexual orientation, gender identity, gender expression, marital status, disability, or any other protected classification. We consider all qualified applicants, including those with criminal histories, in a manner consistent with state and local laws, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance.",Ultimate Staffing Services,3.5,"Plano, TX",501 to 1000 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Sr. SQL Data Analyst,-1,Data Analyst,"JOB DESCRIPTION
A healthcare client of Insight Global is looking for a SQL Data Analyst to work 100% remote. You will be taking in claims from the customer, passing them through products and services, and using SQL to structure the data. They are looking for someone who has very strong attention to detail since you will be working with large data. You will be breaking down patient information, organizing the data, and sub categorizing the information for it to be easier to read for the nurses to be able to identify the data.
MINIMUM REQUIREMENTS
5+ years of MSSQL experience
3+ years of experience with T-SQL basic querying or SP usage",Insight Global,4.0,"Frisco, TX",1001 to 5000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Machine Learning Engineer - 318457,-1,Machine Learning Engineer,"Machine Learning Engineer– On behalf of our client, Procom Services is searching for a Machine Learning Engineer to join their team for a 12-month contract opportunity in Charlotte, NC.
Machine Learning Engineer Job Summary
As a Machine Learning Engineer, you’ll be a member of a team of Machine Learning Engineers and Data Engineers working closely with Data Scientists. This team builds and maintains scalable platforms for machine learning, prediction serving, and personalized recommendation serving.

Machine Learning Engineer Job Details",Procom,4.2,"Charlotte, NC",5001 to 10000 Employees,1978,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
Data Scientist - SC,-1,Data Scientist,"We have a wide variety of career opportunities around the world — come find yours
Technology/IT
The United IT team designs, develops and maintains massively scaling technology solutions that are brought to life with innovative architectures, data analytics and digital solutions.
Job overview and responsibilities
The Data Scientist will collaborate with the Analytics Products team and business SMEs to deliver machine learning solutions and provide consulation on machine learning techniques and technology. Our Analytics Products group is a global team energetic about using data to develop products or data-driven strategic solutions across United Airlines. We partner with subject matter experts across the business to build solutions for a wide variety of commercial and operations use cases. As a team, we focus on projects that drive strong financials, deliver improved customer experiences, and support employee engagement. The data science team within Analytics Products focuses on predictive modeling, particularly with complex data, such as unstructured image and text, signal, and time series data.",United Airlines Inc.,4.1,"Chicago, IL",10000+ Employees,1926,Company - Public,Airlines,Travel & Tourism,$10+ billion (USD)
Data Scientist - Analytics,-1,Data Scientist,"Role Summary: Using your deep curiosity and desire to learn, you will focus on analytics and perform a variety of tasks related to cleaning and exploring new datasets, uncovering useful trends and observations in the data, while keeping in mind the business context and goals specific to the Client.
Acorn Analytics is a data science consultancy that helps clients of varying degrees of data maturity harness the power in their data to drive smarter decision making. We are proactive communicators, upfront and candid!
Using your attention to detail and pride in your work, you will be responsible for:
Exploratory data analysis (EDA)
Quality assurance",Acorn Analytics,-1,Remote,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist - Data Analytics,-1,Data Scientist,"This is an environment unlike anything in the high-tech world and the secret of Costco’s success is its culture. The value Costco puts on its employees is well documented in articles from a variety of publishers including Bloomberg and Forbes. Our employees and our members come FIRST. Costco is well known for its generosity and community service and has won many awards for its philanthropy. The company joins with its employees to take an active role in volunteering by sponsoring many opportunities to help others. In 2018, Costco contributed over $39 million to organizations such as United Way and Children's Miracle Network Hospitals.
Costco IT is responsible for the technical future of Costco Wholesale, the second largest retailer in the world with wholesale operations in twelve countries. Despite our size and explosive international expansion, we continue to provide a family, employee centric atmosphere in which our employees thrive and succeed. As proof, Costco consistently ranks in the .",Costco Wholesale,4.1,"Seattle, WA",10000+ Employees,1976,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$50K,Data Scientist,"Skills & Job Requirement:
Knowledge of SAS and R
Knowledge of Python and R,
Knowledge of statistics and statistics models
Analyze and Convert SAS script into R data frame.
Perform statistical analysis and convert all the SAS , SAS Macro and SAS Statistical Script into R Scripts
Create R programming and producing outputs to support the analysis using R.
Extract the data and insert data from Oracle and Teradata Database.",e-Zest Solutions Inc,-1,Remote,-1,-1,-1,-1,-1,-1
Need Data Scientist - Long term - Remote till Covid,Employer Provided Salary:$80K - $180K,Data Scientist,"Hi,
We have an immediate position from one of our direct client.
As the hiring manager is our company's W2, we can able to get the interview immediately & will get you placed.
Note: As its our direct req. . . we are looking for consultants who can work in our payroll i.e., W2/1099.
Position: Senior Data Scientist
Location: DC Metro (Remote till Covid)
Longevity: Long Term
Rate: DOE
Visa Status: No restrictions but to be W2",Pulse Healthcare inc,-1,Remote,-1,-1,-1,-1,-1,-1
Data Scientist (Machine Learning) - Evernorth (Work from home),-1,Data Scientist,"Cigna’s Global Data & Analytics organization offers solutions that provide actionable insights to internal and external business partners and customers to reduce health costs, improve outcomes, and measure and forecast business performance.

Excited to grow your career?
Our people make all the difference in our success as influencers of change in the healthcare industry. Working for our organization means having a direct impact on Cigna's ability to drive the future of healthcare. Join our team and engage in meaningful work that makes a difference to improve the health, well-being, and peace of mind of those we serve.

Do you have a passion for machine learning / artificial intelligence? Are you excited about using your skills to help individual’s improve their health? Our Data Science roles are an opportunity to apply advanced Data Science (DS), Artificial Intelligence (AI) and Machine Learning (ML) to produce solutions that reduce customer health costs (affordability, quality, gaps in care), reduce operational expenses, and optimize business processes. Using AI tools, DS platforms, ML libraries, and optimization tools, we leverage internal, external, online and offline data sources comprising clinical, provider & Rx data, and behavioral/attitudinal data. Our Data Science team engages in work that has a direct impact on our customers and providers.


Your work will require deep acquaintance with Cigna's data, seeking to find ways to deliver value through advanced feature engineering. From your models you will deliver actionable insights that can be incorporated into existing Cigna wellness products as well as new programs. In addition to collaborating with Data Science Management to establish strategic priorities, you will work closely with Data & Engineering to deliver code that is robust and ready to scale.

The ideal candidate for this role will have strong coding skills (preferably in Python), a passion for creating technology to improve health care, and an attitude of creativity and continual learning.


Create models using ML / AI techniques to predict risk and identify actionable insights
Deliver clean, reusable, and scalable code
Work closely with Data & Engineering to deploy models
Provide thought leadership on latest analytic techniques, technologies and methods

Qualifications
MS/PhD in Computer Science, Math, Statistics, or in any technical field that provides a solid basis for analytics or equivalent work experience
Excellent understanding/experience with leading ML / AI methods; XGBoost, deep learning, reinforcement learning, optimization
3 years' experience with Python and its data science libraries such as Scikit-learn, Pandas, Numpy and Keras
Excellent communication skills

This position is not eligible to be performed in Colorado.

About Evernorth
Evernorth, Cigna Corporation’s health services segment, exists to elevate health for all. We're building on our legacy and redefining health care as we know it. Unbiased in how we think, we create without limitation. We partner without constraints, deliver value differently and act in the interest of humanity. Solving across silos, closing gaps in care, and empowering clients, customers, and people everywhere to move onward and upward. When you work with us, you’ll be empowered to solve the problems others don’t, won’t or can’t. Join us. What difference will you make?

Qualified applicants will be considered without regard to race, color, age, disability, sex, childbirth (including pregnancy) or related medical conditions including but not limited to lactation, sexual orientation, gender identity or expression, veteran or military status, religion, national origin, ancestry, marital or familial status, genetic information, status with regard to public assistance, citizenship status or any other characteristic protected by applicable equal employment opportunity laws.

If you require reasonable accommodation in completing the online application process, please email: SeeYourself@cigna.com for support. Do not email SeeYourself@cigna.com for an update on your application or to provide your resume as you will not receive a response.",Cigna,3.7,"Hartford, CT",10000+ Employees,1865,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
"Data Scientist, Machine Learning",-1,Data Scientist,"Discord is looking for passionate data scientists to join our team! As a member of the Data Science &amp; Analytics team, you'll use your expertise in machine learning to help Discord achieve its mission of providing people with belonging in online communities, by collaborating directly with the teams who design, build, and support Discord. If you're passionate about data, impact, and working on an amazing team, read on!&nbsp; You will:&nbsp; Apply state-of-the-art machine learning techniques to provide a deeper understanding of product, users, and communities&nbsp; Build predictive models, apply causal inference techniques, and design and analyze experiments to support high impact company initiatives Ideate, communicate, and and partner directly with product, engineering, and business teams to improve decision-making and drive impact&nbsp; You have (you don't need all of these to apply!):&nbsp; 2+ years experience applying machine learning and statistical knowledge to solve ambiguous business problems Deep technical expertise in machine learning fundamentals, applied machine learning, and statistical modeling Experience writing excellent Python or R Excellent communication skills, with the ability to deliver complicated findings and explain technical approaches to a variety of audiences A desire to work with amazing, passionate people who care deeply about solving challenging problems to improve Discord&nbsp; Last but not least - a collaborative attitude and a healthy dose of natural curiosity! Bonus Points&nbsp; Experience in the design and analysis of A/B tests in a fast-paced environment at scale Proficiency in SQL&nbsp; Passion for Discord or online communities Experience with social media or international subscription-based online services, including familiarity with concepts such as social graphs, LTV modeling, user segmentation, etc&nbsp; Experience using a BI visualization tool like Tableau or Looker to surface model results, monitor performance, etc&nbsp; Benefits and Perks&nbsp; Medical insurance including Health, Dental, Vision 20 paid holidays Unlimited sick days Parental Leave and fertility benefits Transgender benefits Supported-employee clubs and Employee Resource Groups Commuter Contributions of $270 a month (pre-tax) Daily lunches and unlimited snacks Monthly gym and fitness stipend&nbsp; Discord is an equal opportunity employer committed to promoting an inclusive work environment free of discrimination and harassment. We value diversity, inclusion, and aim to provide a sense of belonging for everyone.&nbsp; #LI-GB1",Discord,4.7,"San Francisco, CA",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
Associate Data & Machine Learning Engineer,Employer Provided Salary:$83K,Machine Learning Engineer,"Bachelor’s degree in Computer Science, Engineering, Mathematics or a related field or equivalent professional or military experience
1+ years of experience of Data platform implementation
1+ years of hands-on experience in implementation and performance tuning of Kinesis, Kafka, Spark or similar implementations
Hands on experience with building data or machine learning pipeline
Experience with one or more relevant tools (Flink, Spark, Sqoop, Flume, Kafka, Amazon Kinesis)
Experience developing software code in one or more programming languages (Java, JavaScript, Python, etc)
Current experience with hands-on implementation
AWS Professional Services Accelerate to Consultant (A2C) is an accelerated career development program for college graduates and technical professionals early in their post-graduate careers. The program consists of self-paced technical curriculum, regionally-based classroom trainings, AWS certification training, shadowing, and hands-on billable project work.

At Amazon Web Services (AWS), we’re hiring highly technical Data and Machine Learning engineers to collaborate with our customers and partners on key engagements. Our consultants will develop and deliver proof-of-concept projects, technical workshops, and support implementation projects. These professional services engagements will focus on customer solutions such as Machine Learning, Data and Analytics, HPC and more.

In this role, you will work with our partners, customers and focus on our AWS offerings such Amazon Kinesis, AWS Glue, Amazon Redshift, Amazon EMR, Amazon Athena, Amazon SageMaker and more. You will help our customers and partners to remove the constraints that prevent them from leveraging their data to develop business insights.

AWS Professional Services engage in a wide variety of projects for customers and partners, providing collective experience from across the AWS customer base and are obsessed about customer success. Our team collaborates across the entire AWS organization to bring access to product and service teams, to get the right solution delivered and drive feature innovation based upon customer needs.

You will also have the opportunity to create white papers, writing blogs, build demos and other reusable collateral that can be used by our customers. Most importantly, you will work closely with our Solution Architects, Data Scientists and Service Engineering teams.

The ideal candidate will have extensive experience with design, development and operations that leverages deep knowledge in the use of services like Amazon Kinesis, Apache Kafka, Apache Spark, Amazon Sagemaker, Amazon EMR, NoSQL technologies and other 3rd parties.

This is a customer facing role. You will be required to travel to client locations and deliver professional services when needed.

Inclusive Team Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have thirteen employee-led affinity groups, reaching 85,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life harmony. Striking a healthy balance between your personal and professional life is crucial to your happiness and success here. We are a customer-obsessed organization—leaders start with the customer and work backwards. They work vigorously to earn and keep customer trust. As such, this is a customer facing role in a hybrid delivery model. Project engagements include remote delivery methods and onsite engagement that will include travel to customer locations as needed.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

For employees based in Colorado, this position starts at $82,600 per year. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered. For more information regarding Amazon benefits, please visit https://www.amazon.jobs/en/benefits. Applicants should apply via Amazon’s internal or external careers site.","Amazon Web Services, Inc.",3.8,Remote,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Machine Learning Engineer,-1,Machine Learning Engineer,"Knock is on a mission to empower people to move freely. The Knock Home Swap™ makes it easy for consumers to buy their new dream home before selling their old one, skipping the hassles of living through repairs and showings, paying only one mortgage at a time, and having home prep covered upfront, so their old house sells for the highest possible price. Knock currently offers the Home Swap in 50 markets and plans to be in over 100 markets by 2023.
Launched in 2015 by founding team members of Trulia.com, Knock has raised more than $600 million in debt and equity from top-tier investors, including RRE Ventures, Foundry Group, Redpoint, Greycroft, Corazon Capital, Correlation Ventures, Great Oaks Venture Capital and FJ Labs. In 2021, Knock was one of eight companies selected by Second Century Ventures, the strategic investment arm of the National Association of Realtors®, for its REACH program, which helps technology companies scale across the real estate vertical and its adjacent markets.",Knock,4.3,Missouri,51 to 200 Employees,2015,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
"Staff Data Scientist, Machine Learning",-1,Data Scientist,"Varo is an entirely new kind of bank. All digital, mission-driven, FDIC insured, and designed for the way our customers live their lives.
A bank for all of us.

About The Data Team
Each member of the Data team plays an integral part of what we are building at Varo. We rely on advanced techniques in machine learning, cloud platforms, and big data to drive decisions across the organization. If you are interested in working with an impressive team of Data pros who collaborate and challenge each other and want to solve interesting problems to propel the company’s growth, apply now!

As Staff Data Scientist, Machine Learning you'll...",Varo Money,3.6,Remote,501 to 1000 Employees,2015,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$95K - $125K,Data Scientist,"OPENTEXT - THE INFORMATION COMPANY

As the Information Company, our mission at OpenText is to create software solutions and deliver services that redefine the future of digital. Be part of a winning team that leads the way in Enterprise Information Management.

The Opportunity:
The AI Data Scientist will focus on business analysis, data analysis, and model building in support of the delivery of AI and Analytics to our OpenText teams. This individual will be a professional that is self-motivated and driven to accomplish company goals and who is comfortable multitasking in a fast-paced, dynamic environment.

You are great at:
Working with business teams in all parts of the business to gather conceptual business needs, translate them into clear functional business requirements
Create process models, diagrams, charts, PowerPoint presentations
Work with technical teams and/or study relational database tables to create Technical Data Requirements from the Business Requirements
Build data models in Python or R using a Magellan Notebook
Work with application support, product management, and engineering teams on quarterly upgrades and feature requests for Magellan product suite
Self-motivated and driven to accomplish company goals and who is comfortable multitasking in a fast-paced, matrixed environment
Perform data preparation, linkage, and feature selection
Calculating model accuracy
Reporting and visualizing results/insights
Provide end-user support and training as needed


Bachelor’s degree in Computer Science, Engineering, Business or equivalent experience
5 + years of proven abilities related to data analysis, reporting, analytics, and data modeling
Experience working with data in databases
Experience with SQL, Python, and R
Excellent listening, interpersonal, written, and oral communication skills
Experience with OpenText Magellan preferred
Experience working in a complex, matrix, fast-paced environment
Attention to detail with emphasis on accuracy and quality
Ability to prioritize work to balance multiple projects and deadlines
The ability to work independently, as part of a team, and cross-functionally within the organization

95K - 125K

While OpenText is an Equal Opportunity Employer, our efforts to build an inclusive work environment go beyond simply complying with applicable laws. Our Employment Equity and Diversity Policy provides direction on maintaining a working environment that is inclusive of everyone, regardless of culture, national origin, race, color, gender, gender identification, sexual orientation, family status, age, veteran status, disability, religion, or other basis protected by applicable laws. Should you require accommodations during the selection process, please contact accomodationrequests@opentext.com ).",opentext,3.6,"Austin, TX",10000+ Employees,1992,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD)
"Data Scientist, Analytics",-1,Data Scientist,"Discord is looking for experienced and passionate data analysts to join our small-but-growing Analytics team! As a member of the Data Science & Analytics team, you will help Discord achieve its mission of providing people with a sense of belonging in online communities, by collaborating directly with the teams who design, build, and support Discord. If you're passionate about data, impact, and working on an amazing team, read on!",Discord,4.7,"San Francisco, CA",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
"data scientist, Inclusion & Diversity Workforce Analytics - Remote",-1,Data Scientist,"Job Posting
: Aug 10, 2021
Job Posting End Date
: Aug 25, 2021
Location
: US-WA-Seattle-Starbucks Support Center
Starbucks - Data Analytics",Starbucks,3.8,"Seattle, WA",10000+ Employees,1971,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
Data Scientist,-1,Data Scientist,"DATA SCIENTIST (KEY):
Provides expert support to run analysis and analytical experiments in a methodical manner, using both structured and unstructured data. Evaluate alternate models via theoretical approaches. Identify and exploit data assets, creating new patterns/business value. Create analyses and models to improve customer and operational Key Process Indicators (KPIs), enhancing measurable value for the Agency and its customers. Build predictive models, developing advanced algorithms that extract and classify information from large datasets. Analyze data, developing robust statistical and predictive algorithms/models that drive the product outputs. Identify meaningful patterns and trends, exposing new business opportunities, and translate results into understandable and actionable output that answer real business questions.",AMZNET LLC,-1,Remote,-1,-1,-1,-1,-1,-1
Data Evaluator Remote 100%,-1,Search Engine Evaluator,"We are hiring a Data Evaluator proficient in English to help the world's leading tech startups build safer and more reliable artificial intelligence models. As a Data Evaluator, you will have the opportunity to work on a variety of projects involving the transcription of document fields and categorization of various text, images, and other types of data.
What are some examples of the type of work I'll be doing?
Categorize products. Evaluate a product image to decide which category it belongs to.
Transcribe audio. Listen to a short audio clip and write down what you hear.
Moderate content. Decide if a photo or text is acceptable or similar to others.
Suggested weekly commitment. We're ideally looking for freelancers who can commit at least 10hrs/weeks to this role.",US Quality Profiles,-1,"Columbus, OH",-1,-1,-1,-1,-1,-1
data scientist – AI/ML Solutions - Retail,-1,Data Scientist,"Job Posting
: Aug 24, 2021
Job Posting End Date
: Sep 23, 2021
Location
: US-WA-Seattle-Starbucks Support Center
Starbucks - Data Analytics",Starbucks,3.8,"Seattle, WA",10000+ Employees,1971,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
Data Scientist (Full Time) United States,-1,Data Scientist,"What You’ll Do
Acquire, clean and structure data from multiple sources and maintain databases/data systems.
Identify, analyze, and interpret trends or patterns in complex data sets
Develop, prototype and test predictive algorithms
Filter and ""clean"" data, and review computer reports, printouts, and performance indicators to locate and correct code problems
Develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality
Interpret data, an alyze results using statistical techniques and provide ongoing reports
Who You’ll Work With
Work on massive structured, unstructured, transactional and real-time data sets from a variety of sources to analyze customer usage patterns and provide actionable, int uitive, impactful insights using metrics, algorithms, and statistics.
Who You Are
Recent graduate or on your final year of studies towards a BS, MS or MBA or equivalent in Computer Science, Mathematics, Economics, Information Management, Statistics or a related field
You know how to work a problem from beginning to end with data science tools and techniques, including data manipulation (SQL, Hadoop, etc.) and programming (R, Python, XML, Javascript , or ETL) frameworks
Experience with Oracle databases is desirable. Strong knowledge of and experience with reporting packages (Business Objects etc ). Knowledge of statistics and experience using statistical packages for analyzing large datasets (Excel, SPSS, SAS etc ).
Technical knowledge regarding data models, database design development, data mining and segmentation techniques
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Proficient in queries, r eport writing and presenting findings
Eligible to start July/August 2022
Able to legally live and work in the country for which you’re applying, without visa support or sponsorship

Why Cisco
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.

We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!

But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!",Cisco Systems,4.3,"San Jose, CA",10000+ Employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$67 - $72 Per Hour,Data Scientist,"Role: Data Scientist/ Research Scientist
Duration: Full time Role with Bigr.io
Location: Entirely Remote - US based – (East Coast Hours Preferred)
Ph.D is Mandatory
W2 consultants only
About US:
BigR.io is a technology consulting firm empowering data to drive innovation and advanced analytics. We specialize in cutting-edge Big Data, Machine Learning, and Custom Software strategy, analysis, architecture, and implementation solutions. We are an elite group with MIT roots, shining when tasked with complex missions. Whether it's assembling mounds of data from a variety of sources, surfacing intelligence with Deep Learning, or building high-volume, highly-available systems, we consistently deliver.",BigRIO,-1,United States,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$100K - $120K,Data Scientist,"Click “Apply on Company Website” and our recruiting assistant Olivia will help you schedule an interview with our team.

TurnPoint Services is a national leading service provider of plumbing, electrical and HVAC. The key to growth of the business is its people. We are dedicated to creating an environment that attracts and retains talented and passionate people. The key outcome to our unprecedented growth is through supporting a healthy and productive relationship with our team and continuing to improve performance by enhancing the career path of each of our team members.

Data scientists utilize their analytical, statistical, and programming skills to collect, analyze, and interpret large data sets. They then use this information to develop data-driven solutions to difficult business challenges. Data scientists commonly have a bachelor's degree in statistics, math, computer science, or economics. Data scientists have a wide range of technical competencies including: statistics and machine learning, coding languages, databases, machine learning, and reporting technologies.",TurnPoint,-1,"Houston, TX",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Analyst 2,-1,Data Analyst,"Job Description
Nordstrom is reinventing the retail industry through the power of data and artificial intelligence. The vision for Data Science & Analytics at Nordstrom is to be the best data-driven fashion retailer in the world, and we win by being relevant to the customer through an application of insight and prediction to outcomes.
The Data Analyst 2 role on the Strategic Analytics team is responsible for collecting, analyzing and presenting data to improve decision making around the customer experience, primarily in support of the Executive Finance team . This individual should have a high degree of curiosity about the business and the skills to discover impactful insights from data. They should be able to communicate those insights in a way that builds confidence and enables decisions that drive business value. They should have a passion for connecting questions to insights in an efficient, creative and meaningful way.",Nordstrom,3.7,"Seattle, WA",10000+ Employees,1901,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$50K - $80K,Data Scientist,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.

Your goal will be to help our company analyze trends to make better decisions.

Responsibilities

Identify valuable data sources and automate collection processes
Requirements",Audiohook,-1,Remote,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,-1,Data Scientist,"Working out of our Chevy Chase, MD/Washington DC office, GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Data Scientist, you will be a member of this diverse and highly skilled team. On any given day, you may be exploring new data sets with a business or IT partner, learning the intricacies of a business process, building models, or coordinating the productionalization of a model. You will use a variety of tools (including SQL, Python, R, Spark, and shell scripting) in a variety of environments (including various databases, Linux servers, and Hadoop). You’ll work in a highly collaborative, team environment where you will quickly develop wide ranging exposure to new methods and best practices for conducting data science in a commercial environment.",GEICO,3.4,"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
